entity,field_name,type,read_only,audited
Account,policyUmbrellaActive,bool,false,false
Account,policyUmbrellaCarrier,text,false,false
Account,policyUmbrellaExpiration,date,false,false
Account,policyUmbrellaLimit,text,false,false
Account,policyUmbrellaPremium,currency,false,false
Commission,postedAmount,currency,false,false
Account,preferredContact,enum,false,false
Policy,premiumAmount,currency,false,false
Policy,premiumAtRisk,currency,false,false
Renewal,premiumChange,float,true,false
Account,premiumChangeAmount,currency,false,false
Account,premiumChangePct,float,false,false
ActivityLog,premiumDelta,currency,true,false
Account,primaryDob,date,false,false
Account,primaryEmail,email,false,false
Account,primaryFirstName,varchar,false,false
Account,primaryGender,enum,false,false
Account,primaryLastName,varchar,false,false
Account,primaryOccupation,text,false,false
Account,primaryPhone,phone,false,false
Opportunity,propAddress,address,false,false
Opportunity,propAssessmentDate,datetime,false,false
Opportunity,propAssessmentNotes,text,false,false
Opportunity,propConstructionType,enum,false,false
Opportunity,propCurrentCarrier,varchar,false,false
Opportunity,propCurrentPremium,currency,false,false
Account,propertyAddress,text,false,false
Policy,propertyAddress,text,false,false
Account,propertyCity,varchar,false,false
Account,propertyCount,int,false,false
Account,propertyState,varchar,false,false
Account,propertyZip,varchar,false,false
Opportunity,propFloodZone,varchar,false,false
Opportunity,propOccupancy,enum,false,false
Opportunity,propPriorClaims,int,false,false
Opportunity,propProtectionClass,varchar,false,false
Opportunity,propReplacementCost,currency,false,false
Opportunity,propRoofAge,int,false,false
Opportunity,propRoofType,enum,false,false
Opportunity,propSquareFootage,int,false,false
Opportunity,propYearBuilt,int,false,false
Opportunity,quoteNumber,varchar,false,true
Quote,quoteNumber,varchar,false,true
Account,rateIncreaseFlag,bool,false,false
Commission,reconciliationStatus,enum,false,false
Opportunity,recycledLead,link,true,false
Opportunity,recycleToLead,bool,false,false
Account,referralName,text,false,false
Account,referralsGiven,int,false,false
Account,referralSource,enum,false,false
Policy,reinstatementDate,date,false,false
Contact,relationshipToAccount,enum,false,false
Account,renewalDate,date,false,false
Account,renewalDecision,enum,false,false
Account,renewalDecisionNotes,text,false,false
Renewal,renewalEffectiveDate,date,false,false
Renewal,renewalNotes,text,false,false
Account,renewalOutreachStage,enum,false,false
Renewal,renewalPremium,currency,false,false
Account,renewalQuoteAmount,currency,false,false
Account,renewalQuoteCarrier,text,false,false
Account,renewalQuoteDate,date,false,false
Account,renewalQuoteReceived,bool,false,false
Policy,renewedFrom,linkMultiple,false,false
Account,rentalPropertyCount,int,false,false
Account,rentalPropertyFlag,bool,false,false
Account,rentalPropertyNotes,text,false,false
Account,residenceType,enum,false,false
Account,retentionRisk,enum,false,false
Account,rideshareDriverFlag,bool,false,false
Account,riskScore,int,false,false
Opportunity,rxInformation,text,false,false
Account,scoreAlertSent,bool,false,false
Account,scoreBreakdown,text,true,false
Account,scoreBundleDepth,int,false,false
Account,scoreChangeAmount,int,false,false
Account,scoreChangeDirection,enum,false,false
Account,scoreClaimsActivity,int,false,false
Account,scoreLastCalculated,datetime,false,false
Account,scoreLastContact,int,false,false
Account,scorePaymentHistory,int,false,false
Account,scoreTier,enum,true,false
Account,scoreTotal,int,true,false
Account,scoreYearsRetained,int,false,false
Account,sicCode,text,false,false
Opportunity,skipEmailSequence,bool,false,false
Task,sourceActivityLogId,varchar,true,false
Lead,sourceOpportunity,link,true,false
Account,spouseDob,date,false,false
Account,spouseFirstName,varchar,false,false
Account,spouseLastName,varchar,false,false
Account,spouseOccupation,text,false,false
OpportunityDriver,stateIssued,varchar,false,false
Policy,statusLabel,enum,true,false
Policy,syncStatus,enum,false,false
Lead,t65AlertSent,bool,true,false
Opportunity,targetCarrier,varchar,false,false
Task,taskSource,enum,false,false
Account,totalActivePremium,currency,false,false
Account,totalAnnualPremium,currency,true,false
Account,totalCarrierPremium,currency,true,false
Opportunity,umbrellaLimit,enum,false,false
Contact,underwrittenPolicies,linkMultiple,false,false
Policy,urgencyIcon,varchar,true,false
Commission,varianceAmount,currency,true,false
Commission,variancePercent,float,true,false
Account,vehicle1AnnualMiles,int,false,false
Account,vehicle1Make,varchar,false,false
Account,vehicle1Model,varchar,false,false
Account,vehicle1Ownership,enum,false,false
Account,vehicle1Use,enum,false,false
Account,vehicle1Vin,text,false,false
Account,vehicle1Year,int,false,false
Account,vehicle2AnnualMiles,int,false,false
Account,vehicle2Make,varchar,false,false
Account,vehicle2Model,varchar,false,false
Account,vehicle2Ownership,enum,false,false
Account,vehicle2Use,enum,false,false
Account,vehicle2Vin,text,false,false
Account,vehicle2Year,int,false,false
Account,vehicleAdditionalNotes,text,false,false
Account,vehicleCount,int,false,false
Opportunity,vehicleDetails,text,false,false
Opportunity,wcAnnualPayroll,currency,false,false
Opportunity,wcClassCode,varchar,false,false
Opportunity,wcEmployeeCount,int,false,false
Opportunity,wcExperienceMod,float,false,false
Account,websiteUrl,url,false,false
Commission,writtenPremium,currency,false,false
Opportunity,writtenPremium,currency,false,false
Account,xDate,date,false,false
Lead,xDate,date,false,false
Opportunity,xDate,date,false,false
Account,yearsAtAddress,int,false,false
Account,yearsInBusiness,int,false,false
Account,youthfulDriverFlag,bool,false,false
